Username,Tweet,Yearly Pay
othiym23,"#talkpay DM ""CS College dropout, 130k/year + 20k shares over 4 years, currently trading in the $40-50 range / share (about $900k pre tax).""","$1,030,000.00"
issackelly,"DM: Systems engineer: 75k in 2004, promoted to 125k, then 90k, then 125k, now 225k+700k/year RSUs as an eng manager at $bigco #talkpay WM","$925,000.00"
NaderalMaleh,#talkpay Estimates of previous years' earnings: 2009 - $25K 2010 - $55K 2011 - $140K 2012 - $165K 2013 - $320K 2014 - $525K 2015 - $~,"$525,000.00"
othiym23,"#talkpay DM ""white male L1 visa. Staff SWE at Goog: $201k + $45k bonus + $220k liquid equity.""","$511,000.00"
HalothaneDoc,#talkpay $425K plus percentage of billing. Managing partner in medical practice and physician.,"$425,000.00"
othiym23,"#talkpay DM ""White male, master's degree, SF. 3 years in first job: $105K (+$50K stock) / year -&gt; $130K (+$200K stock) / year.""","$330,000.00"
issackelly,"DM: #talkpay cis white male - architect at startup made $143k/year + 50k stock options in 2011, freelance dev made ~275-325k/year since","$325,000.00"
othiym23,"#talkpay DM ""white male UI dev: 2012 - $55k CAD 2013 - $70k CAD 2014 - $200k USD 2015 - $300k USD""","$300,000.00"
kissane,Small context: a male content strategist I know at another agency with much less experience than me made $300K in 2011. #talkpay,"$300,000.00"
skingry,"For the 1 year I was a consultant, I was earning &gt;250k... granted the level of stress was unsustainable. #talkpay","$250,000.00"
othiym23,"#talkpay DM ""white male in UI web dev: 2013: $35k self-employed 2014: $170k startup 2015: ~$250k current""","$250,000.00"
NPND,We are aiming for $250K gross revenue this year #talkpay,"$250,000.00"
mark0978,#talkpay Sr Software developer 250k/yr NYC,"$250,000.00"
geschehaas,#talkpay 2015: (minus) $burn founder 2013: $90-110K startup gigs 2012: $250K hedge fund analyst 1999: deutsch mark 5/h newspaper deliveries,"$250,000.00"
enggirl,Civil engineer in California $65k start to $250k small/midsize firm partner #talkpay,"$250,000.00"
radiomorillo,Latina SW Engineer west coast 2006: $40k 2015: $240k+ #talkpay #POC,"$240,000.00"
adron,General rate is somewhere in the $140-220k range depending on the work and what the company has asked me to do. #talkpay,"$220,000.00"
othiym23,"#talkpay DM ""WM security eng SF visa 2011 - 110k + 40k bonus 2012 - 135k + 27k bonus + 20k profit on options 2013 - 210k + 0.175% equity/yr""","$210,000.00"
emhrt_,"#talkpay made $90K as staff sci on NSF project, left, make ~$210K (salary + annual RSU) as a data scientist in industry.","$210,000.00"
DevNambi,"01-04 Sysadmin @ Atlas, $50K 04-08 SWE @ Atlas, 90K 09-12, Senior SWE @ MSFT, 210K w/ bonus 12-15, Data Scientist @ UW, 101K #talkpay","$210,000.00"
Carbamide,Between 150k and 210k depending on how many contracts I do. #talkpay,"$210,000.00"
ZenGender,"I now make upwards of $200K/yr doing software engineering, and I think it's terrible. #talkpay","$200,000.00"
ZenGender,"Software Engineer, Upon Entering Silicon Valley: 4) $60K/yr -&gt; (raise) $70K/yr -&gt; $85k/yr 5) $95k/yr 6) $175k/yr -&gt; $200k/yr #talkpay","$200,000.00"
radiomorillo,"MOC software engineerL $83K out of college in 2010, $125K w/in 1yr $150k switched jobs, $189K raise 2yrs later $200K b+ stock #talkpay #POC","$200,000.00"
Party_Waves,"#talkpay BigLaw firm salary info some of the most readily available, since most are lock-step. Mine 2007 - 2012, ranged from $148k - $200k+.","$200,000.00"
misterjt,Most money I’ve ever earned ($200k+) was also the year I got laid off. Thanks to constant re-orgs and severance. #talkpay,"$200,000.00"
maxogden,"#talkpay computer programmer, $96,000 a year as a contractor on a grant funded project. no benefits. could make $200k at google","$200,000.00"
levelsio,#talkpay revenue of my projects: 2012 - $40k 2013 - $52k 2014 - $45k 2015 - $200k (end-of-year est),"$200,000.00"
hcatlin,"#talkpay $70k/year early startup tech lead, then got to $120k/year for a while, then hit $200k/yr+ just before I decided to do my own thing","$200,000.00"
ctide,"#talkpay cishet white male, 15+ years experience. 99-2000s: 60-80k unix/dba/php/c#, 2006-7: 80k SDET, 2008: QA @ startup: 80k (~200k exit)","$200,000.00"
eqe,"#talkpay SF, mostly startups SWeng, 17yr exp 10yr salary range: $85-155k $195k w2 max (RSUs) Have had +30% and -40% job-to-job delta","$195,000.00"
SeanMP,#talkpay Seattle-area software engineer with 3.5 years of experience. $193k (split of cash and RSUs),"$193,000.00"
shanley,"Posting anonymously by request: White trans woman, tech exec, 190k salary, 60k bonus, 60k in stock annually. #talkpay","$190,000.00"
RunsAsCoded,"#talkpay 7 yrs, all SWE: 2008-9 goog 90→120k, 30k bonus, 30k stock 2010 startup 30k 2011-4 4sq 95→130k 2014 FB/dropbox offers ~300k now 190k","$190,000.00"
ahmednuaman,".@shanley @spaceninja my day rate is currently £600, around £120-190k PA turn over #talkpay","$190,000.00"
radiomorillo,"Asian female, cisgender, Software engineer, SF, $185K #talkpay #POC","$185,000.00"
eviljosh,#talkpay white male Lawyer 09 - $165k 10 - $185k Startup 11 - $0 Tech (webapp) 12 - $85k 13 - $95k 14 - $105k paid off student loans 12/2014,"$185,000.00"
beaucronin,00-03 SWE in rsch group 60K 03-08 grad student 24K 09-11 founder startup1 90K 11-12 founder startup2 130K 13-15 PM 185K w/ bonus #talkpay,"$185,000.00"
stickwithjosh,06 $35k 06-07 $38k 07-08 $40k 08-11 - $60k (started contracting) 11 - $105k 12 - $120k 13 - $103k 14 - $180k #talkpay,"$180,000.00"
StealthyMoose,"#talkpay High Functioning (full stack) White Male SWEng w/ 9 years exp, in the past 5 years between $95k-$180k (presently at the lower end)","$180,000.00"
pbrane,"If you're gonna step up, I will: when I started at TWTR (10 years exp), I made $155k, 4yrs later was $180k #talkpay https://t.co/fV4ShhPQa2","$180,000.00"
dustyjewett,"#talkpay 2005 - First Job out of College, with Masters, $75k 2008 - $110k 2010 - $120k 2012 - $180k (contract, no benefits) 2013 -&gt; Omitted","$180,000.00"
changecatalysts,Income 2013: $175k (consultant) 2014: $150k (CXO) 2015: $0 (startup) #startupfun #talkpay #thisishard,"$175,000.00"
othiym23,"#talkpay DM ""white cis male, 20 yrs web dev, 8 years ruby, $175K as senior SW engineer at small startup in SF""","$175,000.00"
etrepum,"#talkpay $42k (while in college) in MD, dropped out for $80k then $100k in NYC. Entrepreneur since. Short post-acquihire stint @ FB $175k.","$175,000.00"
nathansmith,"Last year, via recruiters and directly, was approached about VP of front-end. $175k/yr in Dallas. I declined. (I work from home.) #talkpay","$175,000.00"
othiym23,"#talkpay DM ""$175k CTO / lead cis het wm in LA, 10+ yr""","$175,000.00"
othiym23,"#talkpay DM ""cis het WM; MSCS; 8y exp; SF; b/e eng '12 Sr $150k -&gt; '15 team lead $175k; no bonus pre-IPO 45k shares RSU/$8k raise+$5k promo""","$175,000.00"
TechFlunk,I got a quiver of six kids to feed; $175k barely gets our ends met! #talkpay,"$175,000.00"
othiym23,"#talkpay DM ""JS dev, Bay Area, $175k""","$175,000.00"
mperham,I made $170k in SF in 2011 and took a $50k pay cut to come to PDX. No regret at all. #talkpay,"$170,000.00"
apparentlymart,"In 2012, SF senior software engineer I got ~$150k/yr. Just got promotion to senior software architect at ~$170k. white/male/cis #TalkPay","$170,000.00"
othiym23,"#talkpay DM ""white male 40s LA node/JS engineer/architect, 5 years with current company ~$165k""","$165,000.00"
othiym23,#talkpay I'm a team lead on an open source software product: $165k + stock. Last job: $142k + options. 21+ yr experience. Cis het WM in SF,"$165,000.00"
DanaDanger,"Twitter 2010 to 2014: Started at $110k as Software Engineer, Platform Final salary was $162k as Staff Software Engineer #talkpay","$162,000.00"
dddagradi,"#talkpay San Francisco 12 - $108k + bonus, engineer 14 - $162k (w/ bonus) senior engineer 15 - ?? lolol started a business","$162,000.00"
othiym23,"#talkpay DM ""$161k including bonus, + $10k/yr stock⁰⁰. 28 yo WM, eng mgr, remote.""","$161,000.00"
flipzagging,"#talkpay - Last 10 years high, $160K at @Yahoo 2006-2010, low was ~$20K trying to startup &amp; consult while also sick 2012.","$160,000.00"
Zalambar,"#talkpay developer in SF, college w/ no degree, ~9 years full time, ~4 years leading project teams. Currently $160k.","$160,000.00"
aredridel,"#talkpay At $160k, I support an ill dependent, and often a member of my community.","$160,000.00"
tableflipclub,"Woman, full stack software engineer, 9 yrs, Bay Area, $160k + startup options. $75k signing bonus. #talkpay","$160,000.00"
drk,"#talkpay white male, self taught dev making $160k working on frontend","$160,000.00"
